Station,Site_Name,Agency_Name,Lat,Lon,SRadius,MERRALat,MERRALon,IDXi,IDXj,PS,QV10m,Q500,Q850,T10m,T500,T850,WIND,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,NISMASS25,TOTEXTTAU,UTC_DATE,UTC_TIME
56,Dublin,,53.3498053,-6.2603097,11.1,53.25,-6.25,574,557,103294.75,5.67901,0.63152,0.0020228792,283.094,256.544,275.094,1.893,0.35633,2.56445,1.54332,1.65889,2.09744,1.45333,0.11235,0.125,20250410,0130
57,Durban,,-29.8586804,31.0218404,14.6,-29.75,30.938,242,676,100651.72,12.85883,0.5166,0.008751223,295.579,265.355,287.579,2.465,1.4392,1.23955,6.31324,6.46832,2.87497,0.80026,0.02018,0.086,20250410,0130
762DUS010001,Dushanbe,U.S. Department of State Tajikistan - Dushanbe,38.557671,68.775917,7.4,38.5,68.75,515,797,79742.3,7.04852,0.39276,--,280.147,259.1,272.147,0.975,0.85207,23.15518,5.45448,0.50696,8.04478,0.06765,1.03391,0.404,20250410,0130
58,Dusseldorf,,51.2277411,6.7734556,7.5,51.25,6.875,566,599,101529.89,4.68306,0.96063,0.0025828856,278.224,254.188,270.224,2.857,0.44471,3.38895,0.8774,7.03178,4.31658,2.12142,1.68962,0.237,20250410,0130
59,Edinburgh,,55.953252,-3.188267,6.5,56.0,-3.125,585,567,102564.0,4.95892,0.60267,0.0022904933,279.417,256.62,271.417,2.231,0.81817,4.04053,3.17149,6.10652,1.83429,0.52661,0.65555,0.119,20250410,0130
60,Florence,,43.7695604,11.2558136,2.2,43.75,11.25,536,613,95322.94,6.54988,0.1606,0.0052984315,280.535,250.154,272.535,1.278,0.8957,2.17766,2.91867,1.21249,2.83542,1.91852,2.78912,0.185,20250410,0130
61,Frankfurt_am_Main,,50.1109221,8.6821267,13.3,50.0,8.75,561,605,99744.41,5.00444,0.90155,0.002116236,278.447,253.596,270.447,1.924,0.61984,3.22005,2.29369,2.64844,2.11363,0.42724,4.12455,0.198,20250410,0130
62,Freetown,,8.4656765,-13.2317225,12.3,8.5,-13.125,395,535,100829.45,18.17393,2.89484,0.012799792,297.674,268.525,289.674,1.338,0.30918,10.14057,1.18079,0.1426,2.35858,5.01757,0.00761,1.015,20250410,0130
63,Fukuoka,,33.5901838,130.4016888,13.0,33.5,130.312,495,994,99601.01,10.43338,1.51989,0.005952292,293.054,254.963,285.054,5.65,1.08857,7.55704,5.3925,3.3325,7.61229,1.86329,0.17522,0.795,20250410,0130
64,Gaborone,,-24.6282079,25.9231471,13.6,-24.75,25.938,262,660,90502.766,12.38562,0.14422,0.009318199,290.988,267.8,282.988,2.173,0.30574,1.98354,2.92724,1.20345,0.49854,0.04307,0.09018,0.055,20250410,0130
